State,STATE PCODE,District, Township ,Township Pcode,Population (2014 Cen.),Population (2021 Proj),Urban Pop  (2021 Proj), Rural Pop  (2021 Proj),% of people with disabilities (Age 5 yrs+),% Female,% CHILDREN  (Age 18<),% ADULTS ( Age 18-60),% ELDERS  (Age 60+),Population baseline (without IDPs),IDPs,IDP returnees/ resettled/ locally integrated (Sep 2021),Non-displaced stateless people in Rakhine (2021 HNO),# of most vulnerable crisis-affected people BASELINE,%IDPs,%Returnees,%Rakhine State/Less,%Other vulnerable People
Chin,MMR004,Mindat,Mindat,MMR004006,42600,45926.77962,12403.46478,33523.31484,0.206297108,0.536924883,0.461809812,0.472438445,0.065751742,41106.77962,4820,0,,28608.41677,,0,0,100
Chin,MMR004,Mindat,Kanpetlet,MMR004008,21493,23171.46184,4483.790527,18687.67131,0.206297108,0.520169357,0.461809812,0.472438445,0.065751742,21969.46184,1202,0,,13381.23391,,0,0,100
Kachin,MMR001,Bhamo,Bhamo,MMR001010,135877,154328.682,66666.73769,87661.94428,0.088977616,0.508982388,0.360097538,0.584906269,0.054996193,144751.682,9577,2121,,72458.19,,2.843956873,0,97.15604313
Kachin,MMR001,Bhamo,Shwegu,MMR001011,94784,107655.378,23535.98437,84119.3936,0.088977616,0.502299966,0.360097538,0.584906269,0.054996193,104526.378,3129,0,,55222.86078,,0,0,100
Kachin,MMR001,Bhamo,Momauk,MMR001012,62914,71457.52922,23848.32853,47609.20069,0.088977616,0.506802937,0.360097538,0.584906269,0.054996193,46358.52922,25099,4075,,36068.3553,,10.15111958,0,89.84888042
Kachin,MMR001,Bhamo,Mansi,MMR001013,52945,60134.76944,9252.201943,50882.5675,0.088977616,0.505977902,0.360097538,0.584906269,0.054996193,45890.76944,14244,4547,,24244.78511,,15.79269914,0,84.20730086
Kachin,MMR001,Mohnyin,Mohnyin,MMR001007,209292,237713.215,64333.81076,173379.4042,0.088977616,0.514563385,0.360097538,0.584906269,0.054996193,237321.215,392,129,,125380.3745,,0.102781167,0,99.89721883
Kachin,MMR001,Mohnyin,Mogaung,MMR001008,132608,150615.7618,28408.55328,122207.2085,0.088977616,0.521137488,0.360097538,0.584906269,0.054996193,148983.7618,1632,202,,74576.63751,,0.270130624,0,99.72986938
Kachin,MMR001,Mohnyin,Hpakant,MMR001009,331708,376752.9342,74800.17964,301952.7546,0.088977616,0.36473344,0.360097538,0.584906269,0.054996193,372393.9342,4359,475,,289733.8841,,0.16367521,0,99.83632479
Kachin,MMR001,Myitkyina,Myitkyina,MMR001001,317604,360733.654,279980.7626,80752.89145,0.088977616,0.514971474,0.360097538,0.584906269,0.054996193,349007.654,11726,3868,,184386.0035,,2.054670779,0,97.94532922
Kachin,MMR001,Myitkyina,Waingmaw,MMR001002,125544,142592.4921,30275.80346,112316.6886,0.088977616,0.502445358,0.360097538,0.584906269,0.054996193,115791.4921,26801,8281,,70812.70243,,10.46986011,0,89.53013989
Kachin,MMR001,Myitkyina,Injangyang,MMR001003,1732,1967.200315,505.4296421,1461.770673,0.088977616,0.453810624,0.360097538,0.584906269,0.054996193,1401.200315,566,1145,,662.5193528,,63.34648634,0,36.65351366
Kachin,MMR001,Myitkyina,Tanai,MMR001004,60019,68169.39705,42495.84283,25673.55422,0.088977616,0.467185391,0.360097538,0.584906269,0.054996193,66912.39705,1257,383,,35350.82779,,1.071813527,0,98.92818647
Kachin,MMR001,Myitkyina,Chipwi,MMR001005,20039,22760.23505,3168.873486,19591.36157,0.088977616,0.486002296,0.360097538,0.584906269,0.054996193,20041.23505,2719,1160,,9475.951393,,10.90640562,0,89.09359438
Kachin,MMR001,Myitkyina,Tsawlaw,MMR001006,6518,7403.124511,417.9732771,6985.151233,0.088977616,0.485885241,0.360097538,0.584906269,0.054996193,7403.124511,0,0,,3500.365513,,0,0,100
Kachin,MMR001,Puta-O,Puta-O,MMR001014,61075,69368.79863,18147.76364,51221.03499,0.088977616,0.506148178,0.360097538,0.584906269,0.054996193,68870.79863,498,460,,34474.57981,,1.31674691,0,98.68325309
Kachin,MMR001,Puta-O,Sumprabum,MMR001015,2546,2891.739031,1291.40113,1600.3379,0.088977616,0.492930086,0.360097538,0.584906269,0.054996193,1688.739031,1203,0,,845.3302366,,0,0,100
Kachin,MMR001,Puta-O,Machanbaw,MMR001016,8858,10060.88937,2629.369936,7431.519434,0.088977616,0.4970648,0.360097538,0.584906269,0.054996193,10060.88937,0,0,,4757.01714,,0,0,100
Kachin,MMR001,Puta-O,Nawngmun,MMR001017,7123,8090.281664,2539.641977,5550.639687,0.088977616,0.494173803,0.360097538,0.584906269,0.054996193,8090.281664,0,0,,3825.269032,,0,0,100
Kachin,MMR001,Puta-O,Khaunglanhpu,MMR001018,11655,13237.71344,511.1086268,12726.60481,0.088977616,0.497640498,0.360097538,0.584906269,0.054996193,13237.71344,0,0,,6259.091755,,0,0,100
Kayah,MMR002,Bawlake,Bawlake,MMR002005,10996,12712.895,6328.700187,6384.194818,0.108318941,0.4477992,0.405139781,0.542593684,0.052266535,12712.895,0,0,,6475.489256,,0,0,100
Kayah,MMR002,Bawlake,Hpasawng,MMR002006,25594,29590.1996,3639.52287,25950.67673,0.108318941,0.456669532,0.405139781,0.542593684,0.052266535,29470.1996,120,0,,14207.76875,,0,0,100
Kayah,MMR002,Bawlake,Mese,MMR002007,6319,7305.636917,1171.167937,6134.468979,0.108318941,0.461623675,0.405139781,0.542593684,0.052266535,6985.636917,320,0,,3367.819535,,0,0,100
Kayah,MMR002,Loikaw,Loikaw,MMR002001,128401,148449.2935,59366.53743,89082.75608,0.108318941,0.508500713,0.405139781,0.542593684,0.052266535,127241.2935,21208,0,,78685.26676,,0,0,100
Kayah,MMR002,Loikaw,Demoso,MMR002002,79201,91567.29695,6498.652494,85068.64446,0.108318941,0.508390046,0.405139781,0.542593684,0.052266535,39564.29695,52003,0,,24466.3283,,0,0,100
Kayah,MMR002,Loikaw,Hpruso,MMR002003,29374,33960.40177,4902.02572,29058.37605,0.108318941,0.508510928,0.405139781,0.542593684,0.052266535,27388.40177,6572,0,,13950.66201,,0,0,100
Kayah,MMR002,Loikaw,Shadaw,MMR002004,6742,7794.68335,1818.605297,5976.078054,0.108318941,0.502966479,0.405139781,0.542593684,0.052266535,7794.68335,0,0,,3757.865914,,0,0,100
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,421575,437422.7904,77965.69032,359457.1001,0.166313027,0.516313823,0.412288294,0.517271522,0.070440184,437271.7904,151,0,,253891.8986,,0,0,100
Kayin,MMR003,Hpa-An,Hlaingbwe,MMR003002,265883,275878.0378,16721.83049,259156.2073,0.166313027,0.511439242,0.412288294,0.517271522,0.070440184,267650.0378,8228,0,,149169.0527,,0,0,100
Kayin,MMR003,Hpa-An,Thandaunggyi,MMR003004,96052,99662.77381,21942.99276,77719.78105,0.166313027,0.494888186,0.412288294,0.517271522,0.070440184,96760.77381,2902,0,,53927.55812,,0,0,100
Kayin,MMR003,Hpapun,Hpapun,MMR003003,35085,36403.91058,17971.0911,18432.81948,0.166313027,0.487444777,0.412288294,0.517271522,0.070440184,-11439.08942,47843,0,,-7707.900518,,0,0,100
Kayin,MMR003,Kawkareik,Kawkareik,MMR003006,220342,228625.0667,44564.5706,184060.4961,0.166313027,0.521089942,0.412288294,0.517271522,0.070440184,228625.0667,0,0,,132745.934,,0,0,100
Kayin,MMR003,Kawkareik,Kyainseikgyi,MMR003007,254849,264429.2492,41411.32892,223017.9203,0.166313027,0.506821687,0.412288294,0.517271522,0.070440184,264429.2492,0,0,,159695.6183,,0,0,100
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,210540,218454.5912,120962.4596,97492.13163,0.166313027,0.488899972,0.412288294,0.517271522,0.070440184,218354.5912,100,0,,131869.9485,,0,0,100
Magway,MMR009,Gangaw,Gangaw,MMR009023,133295,132523.754,13858.34883,118665.4052,0.170275753,0.524213211,0.318905913,0.58249782,0.098596267,126273.754,6250,0,,78489.99095,,0,0,100
Magway,MMR009,Gangaw,Tilin,MMR009024,48866,48583.26092,4495.835671,44087.42525,0.170275753,0.532210535,0.318905913,0.58249782,0.098596267,48583.26092,0,0,,29117.22584,,0,0,100
Magway,MMR009,Gangaw,Saw,MMR009025,68697,68299.51859,9418.189144,58881.32945,0.170275753,0.526238409,0.318905913,0.58249782,0.098596267,63395.51859,4904,0,,37994.60137,,0,0,100
Magway,MMR009,Magway,Magway,MMR009001,289247,287573.4145,93493.89536,194079.5191,0.170275753,0.532914775,0.318905913,0.58249782,0.098596267,287573.4145,0,0,,172350.3095,,0,0,100
Magway,MMR009,Magway,Yenangyaung,MMR009002,134227,133450.3615,44858.93531,88591.42616,0.170275753,0.551297429,0.318905913,0.58249782,0.098596267,133450.3615,0,0,,77009.75255,,0,0,100
Magway,MMR009,Magway,Chauk,MMR009003,185189,184117.4949,44815.18989,139302.305,0.170275753,0.555130164,0.318905913,0.58249782,0.098596267,184117.4949,0,0,,106248.0653,,0,0,100
Magway,MMR009,Magway,Taungdwingyi,MMR009004,259860,258356.4479,45756.71054,212599.7374,0.170275753,0.527799584,0.318905913,0.58249782,0.098596267,258356.4479,0,0,,160590.7373,,0,0,100
Magway,MMR009,Magway,Myothit,MMR009005,159511,158588.068,8033.249053,150554.819,0.170275753,0.535837654,0.318905913,0.58249782,0.098596267,158588.068,0,0,,91515.88457,,0,0,100
Magway,MMR009,Magway,Natmauk,MMR009006,206996,205798.3194,14651.7316,191146.5878,0.170275753,0.551807764,0.318905913,0.58249782,0.098596267,205798.3194,0,0,,118759.346,,0,0,100
Magway,MMR009,Minbu,Minbu,MMR009007,188182,187093.1774,39330.1113,147763.0661,0.170275753,0.530975332,0.318905913,0.58249782,0.098596267,187093.1774,0,0,,107965.2324,,0,0,100
Magway,MMR009,Minbu,Pwintbyu,MMR009008,163692,162744.8767,6313.258848,156431.6179,0.170275753,0.531192728,0.318905913,0.58249782,0.098596267,162744.8767,0,0,,97537.28426,,0,0,100
Magway,MMR009,Minbu,Ngape,MMR009009,52142,51840.30596,4041.479876,47798.82608,0.170275753,0.519101684,0.318905913,0.58249782,0.098596267,51840.30596,0,0,,29915.3115,,0,0,100
Magway,MMR009,Minbu,Salin,MMR009010,236033,234667.3111,12087.65371,222579.6574,0.170275753,0.539365258,0.318905913,0.58249782,0.098596267,234667.3111,0,0,,135418.6782,,0,0,100
Magway,MMR009,Minbu,Sidoktaya,MMR009011,47526,47251.01417,6476.309942,40774.70423,0.170275753,0.508942474,0.318905913,0.58249782,0.098596267,47251.01417,0,0,,27266.98428,,0,0,100
Magway,MMR009,Pakokku,Pakokku,MMR009018,290139,288460.2534,90316.38744,198143.8659,0.170275753,0.54938495,0.318905913,0.58249782,0.098596267,288460.2534,0,0,,166460.791,,0,0,100
Magway,MMR009,Pakokku,Yesagyo,MMR009019,215352,214105.9716,23194.01821,190911.9533,0.170275753,0.561866154,0.318905913,0.58249782,0.098596267,214105.9716,0,0,,133085.263,,0,0,100
Magway,MMR009,Pakokku,Myaing,MMR009020,225771,224464.6871,7661.41302,216803.2741,0.170275753,0.553290724,0.318905913,0.58249782,0.098596267,224464.6871,0,0,,134527.5896,,0,0,100
Magway,MMR009,Pakokku,Pauk,MMR009021,171514,170521.6186,7243.843144,163277.7754,0.170275753,0.539221288,0.318905913,0.58249782,0.098596267,170521.6186,0,0,,105993.8417,,0,0,100
Magway,MMR009,Pakokku,Seikphyu,MMR009022,102769,102174.3777,9028.457259,93145.92046,0.170275753,0.543549125,0.318905913,0.58249782,0.098596267,102174.3777,0,0,,58961.42549,,0,0,100
Magway,MMR009,Thayet,Thayet,MMR009012,104347,103743.2474,20133.82755,83609.41985,0.170275753,0.526723337,0.318905913,0.58249782,0.098596267,103743.2474,0,0,,59866.76786,,0,0,100
Magway,MMR009,Thayet,Minhla,MMR009013,146082,145236.7683,12437.61704,132799.1513,0.170275753,0.499370217,0.318905913,0.58249782,0.098596267,145236.7683,0,0,,83811.29483,,0,0,100
Magway,MMR009,Thayet,Mindon,MMR009014,59357,59013.55991,4567.419078,54446.14083,0.170275753,0.528935088,0.318905913,0.58249782,0.098596267,59013.55991,0,0,,34054.75711,,0,0,100
Magway,MMR009,Thayet,Kamma,MMR009015,75195,74759.92111,5171.901185,69588.01992,0.170275753,0.523186382,0.318905913,0.58249782,0.098596267,74759.92111,0,0,,43141.45696,,0,0,100
Magway,MMR009,Thayet,Aunglan,MMR009016,235222,233861.0036,52183.30979,181677.6938,0.170275753,0.524853117,0.318905913,0.58249782,0.098596267,233861.0036,0,0,,134953.385,,0,0,100
